"schema_version","experiment_id","phase","repeat_index","job_id","sample_index","sample_epoch_s","gpu_metrics_status","gpu_name","gpu_utilization_pct","gpu_memory_used_mib","gpu_memory_total_mib","vllm_metrics_status","vllm_num_requests_running","vllm_num_requests_waiting","vllm_kv_cache_usage_perc","server_version","pgvector_version"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","38","1784983465.5415854","snapshot","NVIDIA GeForce RTX 5070","22","11332","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","39","1784983465.863258","snapshot","NVIDIA GeForce RTX 5070","22","11332","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","40","1784983466.2086112","snapshot","NVIDIA GeForce RTX 5070","22","11331","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","41","1784983466.5283418","snapshot","NVIDIA GeForce RTX 5070","22","11331","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","42","1784983466.8407917","snapshot","NVIDIA GeForce RTX 5070","22","11324","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","43","1784983467.1654127","snapshot","NVIDIA GeForce RTX 5070","22","11331","12227","ok","4","0","0.0005563061273146097","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","44","1784983467.5119338","snapshot","NVIDIA GeForce RTX 5070","22","11332","12227","ok","2","0","0.0003178892156083801","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","45","1784983467.8500974","snapshot","NVIDIA GeForce RTX 5070","22","11332","12227","ok","3","0","0.0003178892156083801","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","46","1784983468.1929674","snapshot","NVIDIA GeForce RTX 5070","85","11330","12227","ok","0","0","0.0","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
"1","accelerated_arrival_formal_queue_adaptive","warmup","1","795","47","1784983468.5097837","snapshot","NVIDIA GeForce RTX 5070","85","11330","12227","ok","7","0","0.0014305014702375995","18.4 (Debian 18.4-1.pgdg12+1)","0.8.2"
